epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1125.97,1.84883,1.64052,2.0082,0.853,0.76012,0.85123,0.37402,1.57564,2.6445,1.79674,0.00167528,0.00167528,0.00167528
43,1152.82,1.83823,1.57507,1.97415,0.82692,0.80902,0.86153,0.36821,1.61672,2.61897,1.82816,0.00166736,0.00166736,0.00166736
44,1179.67,1.82994,1.62252,1.99184,0.86811,0.73482,0.82411,0.34672,1.59872,2.77053,1.80299,0.00165944,0.00165944,0.00165944
45,1206.6,1.81815,1.62147,1.98732,0.78261,0.75399,0.79666,0.30297,1.65973,3.65099,1.87367,0.00165152,0.00165152,0.00165152
46,1233.69,1.82051,1.54842,1.96896,0.8569,0.76528,0.83958,0.35959,1.64056,2.585,1.86138,0.0016436,0.0016436,0.0016436
47,1260.39,1.81504,1.59076,1.99614,0.86016,0.77955,0.84862,0.36655,1.57891,3.21683,1.80686,0.00163568,0.00163568,0.00163568
48,1287.54,1.79605,1.59608,1.96699,0.83809,0.80511,0.86651,0.37542,1.56514,3.52762,1.77999,0.00162776,0.00162776,0.00162776
49,1314.29,1.80396,1.5531,1.97916,0.8281,0.80032,0.84387,0.37568,1.58551,2.04532,1.80353,0.00161984,0.00161984,0.00161984
50,1341.22,1.80811,1.53232,1.95743,0.85746,0.78275,0.85319,0.37103,1.60715,2.21576,1.81915,0.00161192,0.00161192,0.00161192
51,1368.41,1.77793,1.53645,1.95191,0.82314,0.83271,0.87328,0.38965,1.56813,2.35761,1.78787,0.001604,0.001604,0.001604
52,1395.13,1.80406,1.52511,1.96923,0.83446,0.78913,0.84517,0.36651,1.5949,3.09434,1.80718,0.00159608,0.00159608,0.00159608
53,1422.08,1.79735,1.55331,1.97372,0.8121,0.79233,0.85716,0.37751,1.55844,2.87034,1.78559,0.00158816,0.00158816,0.00158816
54,1448.72,1.78013,1.5509,1.97008,0.86577,0.83067,0.87207,0.38654,1.60888,2.37026,1.81829,0.00158024,0.00158024,0.00158024
55,1475.75,1.79475,1.55898,1.96968,0.87972,0.82109,0.88382,0.39455,1.53136,2.71556,1.75501,0.00157232,0.00157232,0.00157232
56,1502.84,1.80159,1.54391,1.96422,0.83303,0.74916,0.83011,0.35462,1.60924,2.75143,1.81819,0.0015644,0.0015644,0.0015644
57,1529.47,1.7548,1.52443,1.94168,0.88328,0.78914,0.86985,0.38448,1.58695,2.55306,1.81261,0.00155648,0.00155648,0.00155648
58,1556.43,1.78058,1.47621,1.95915,0.91891,0.83275,0.88962,0.38812,1.59557,2.74532,1.79854,0.00154856,0.00154856,0.00154856
59,1583.69,1.77058,1.50113,1.93907,0.8856,0.80192,0.87908,0.3835,1.58697,3.06774,1.78938,0.00154064,0.00154064,0.00154064
60,1610.38,1.78066,1.51539,1.94884,0.77453,0.79022,0.81198,0.34682,1.60408,3.61871,1.83637,0.00153272,0.00153272,0.00153272
61,1637.29,1.78015,1.47806,1.93445,0.82197,0.76704,0.84582,0.37127,1.56998,2.75874,1.79281,0.0015248,0.0015248,0.0015248
62,1663.87,1.76212,1.49708,1.93016,0.84831,0.84026,0.88443,0.38562,1.5986,1.90105,1.81204,0.00151688,0.00151688,0.00151688
63,1690.62,1.7632,1.46208,1.92287,0.88103,0.7808,0.88017,0.39803,1.5509,3.13051,1.76575,0.00150896,0.00150896,0.00150896
64,1716.88,1.79425,1.48588,1.96496,0.85632,0.76997,0.85575,0.37998,1.5843,2.04209,1.80078,0.00150104,0.00150104,0.00150104
65,1743.6,1.77105,1.47469,1.94559,0.85297,0.82428,0.86149,0.37964,1.57738,2.7616,1.79599,0.00149312,0.00149312,0.00149312
66,1770.23,1.75697,1.46962,1.93169,0.84225,0.79872,0.86863,0.39734,1.50247,2.67505,1.74881,0.0014852,0.0014852,0.0014852
67,1796.82,1.75687,1.48886,1.92418,0.8656,0.78275,0.8746,0.39187,1.52322,2.67814,1.75852,0.00147728,0.00147728,0.00147728
68,1823.51,1.75965,1.47548,1.91726,0.85963,0.81789,0.87088,0.3945,1.54481,3.14893,1.77258,0.00146936,0.00146936,0.00146936
69,1849.92,1.73533,1.45908,1.92827,0.84921,0.78594,0.86365,0.38041,1.55227,2.75766,1.79129,0.00146144,0.00146144,0.00146144
70,1876.63,1.71815,1.44721,1.91675,0.85038,0.8353,0.87119,0.36734,1.64057,2.92157,1.86526,0.00145352,0.00145352,0.00145352
71,1903.32,1.73375,1.44485,1.92116,0.87157,0.77636,0.87151,0.39031,1.57179,2.78188,1.8041,0.0014456,0.0014456,0.0014456
72,1929.85,1.7437,1.46964,1.91913,0.86775,0.78275,0.8613,0.36803,1.5985,3.9311,1.82589,0.00143768,0.00143768,0.00143768
73,1956.85,1.75123,1.47512,1.94126,0.87197,0.82428,0.88456,0.39395,1.54668,2.46476,1.77828,0.00142976,0.00142976,0.00142976
