epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1299.97,1.85106,1.62878,2.09895,0.82121,0.79241,0.83529,0.37031,1.60693,2.34297,1.85926,0.00167528,0.00167528,0.00167528
43,1329.82,1.82405,1.59079,2.07159,0.87883,0.78785,0.87531,0.37291,1.62687,2.8416,1.85726,0.00166736,0.00166736,0.00166736
44,1359.67,1.81242,1.61746,2.06406,0.86356,0.78594,0.8517,0.36445,1.62402,2.56735,1.85811,0.00165944,0.00165944,0.00165944
45,1389.64,1.82897,1.64991,2.09733,0.88416,0.80511,0.84979,0.35351,1.67119,3.10355,1.92308,0.00165152,0.00165152,0.00165152
46,1419.8,1.82331,1.56947,2.05978,0.8768,0.79233,0.85134,0.36741,1.60547,2.1793,1.84829,0.0016436,0.0016436,0.0016436
47,1449.3,1.80232,1.57824,2.08318,0.89813,0.82428,0.89826,0.36597,1.59499,3.07863,1.84543,0.00163568,0.00163568,0.00163568
48,1479.33,1.80068,1.60813,2.05199,0.89774,0.8147,0.8718,0.38292,1.61936,2.80435,1.88185,0.00162776,0.00162776,0.00162776
49,1509.6,1.79699,1.56073,2.05406,0.83101,0.78557,0.85046,0.35146,1.64221,2.06943,1.85252,0.00161984,0.00161984,0.00161984
50,1539.15,1.80472,1.55303,2.05794,0.85379,0.80221,0.87068,0.36202,1.62791,3.46626,1.86319,0.00161192,0.00161192,0.00161192
51,1569.09,1.75558,1.55385,2.04452,0.83074,0.76038,0.82488,0.35764,1.58687,3.28488,1.83483,0.001604,0.001604,0.001604
52,1598.77,1.79775,1.53537,2.03925,0.88466,0.78419,0.87707,0.39025,1.56129,2.64361,1.80143,0.00159608,0.00159608,0.00159608
53,1628.33,1.81365,1.56924,2.06972,0.85261,0.81322,0.86509,0.3717,1.59275,3.97952,1.838,0.00158816,0.00158816,0.00158816
54,1658.21,1.78322,1.55931,2.05305,0.83371,0.79233,0.86372,0.36572,1.59978,2.53869,1.83806,0.00158024,0.00158024,0.00158024
55,1688.42,1.78142,1.58674,2.04692,0.87139,0.8115,0.89323,0.38658,1.59957,2.43111,1.84697,0.00157232,0.00157232,0.00157232
56,1719.03,1.80702,1.56583,2.05122,0.82922,0.78594,0.85086,0.34306,1.62629,3.32349,1.86197,0.0015644,0.0015644,0.0015644
57,1751.14,1.76911,1.51961,2.02187,0.87173,0.77955,0.84814,0.36552,1.60655,1.95616,1.85885,0.00155648,0.00155648,0.00155648
58,1781.36,1.77429,1.4907,2.02781,0.87517,0.78594,0.86081,0.37923,1.57004,1.83414,1.81916,0.00154856,0.00154856,0.00154856
59,1811.01,1.76586,1.5061,2.01306,0.86604,0.82109,0.87478,0.37101,1.5897,2.5279,1.82661,0.00154064,0.00154064,0.00154064
60,1840.48,1.75517,1.53916,2.02648,0.82448,0.79872,0.85461,0.37887,1.63542,1.79523,1.86398,0.00153272,0.00153272,0.00153272
61,1869.97,1.78668,1.49866,2.02729,0.84961,0.79416,0.86031,0.37759,1.60933,2.34913,1.86744,0.0015248,0.0015248,0.0015248
62,1899.53,1.76892,1.49031,2.01829,0.85415,0.84194,0.88114,0.39274,1.58472,2.21704,1.82687,0.00151688,0.00151688,0.00151688
63,1929.54,1.76726,1.5036,2.01047,0.88134,0.8147,0.89046,0.39006,1.60023,2.31075,1.84692,0.00150896,0.00150896,0.00150896
64,1958.99,1.7866,1.50407,2.04072,0.88737,0.83062,0.88274,0.3957,1.57824,2.97664,1.825,0.00150104,0.00150104,0.00150104
65,1988.75,1.77251,1.50405,2.03607,0.85173,0.80751,0.86844,0.38434,1.58694,2.86702,1.83382,0.00149312,0.00149312,0.00149312
66,2020.31,1.74307,1.49919,2.01984,0.87185,0.82599,0.87879,0.38225,1.54933,2.82592,1.81829,0.0014852,0.0014852,0.0014852
67,2050.05,1.75308,1.49941,2.01301,0.88039,0.79872,0.89281,0.39921,1.55869,2.58091,1.78384,0.00147728,0.00147728,0.00147728
68,2079.21,1.76238,1.48268,1.99827,0.87382,0.83067,0.88762,0.40546,1.5516,2.54987,1.79234,0.00146936,0.00146936,0.00146936
69,2109.03,1.72853,1.45525,1.98584,0.88876,0.81682,0.88616,0.37731,1.56323,2.66678,1.80791,0.00146144,0.00146144,0.00146144
70,2138.94,1.73443,1.45419,1.98128,0.88254,0.84014,0.89018,0.37936,1.61446,3.08166,1.85549,0.00145352,0.00145352,0.00145352
71,2167.98,1.74265,1.44775,1.99456,0.88071,0.80199,0.87391,0.38945,1.57982,2.34792,1.8111,0.0014456,0.0014456,0.0014456
72,2197.54,1.73983,1.45419,1.98915,0.88193,0.83067,0.87859,0.38662,1.59224,2.92626,1.81265,0.00143768,0.00143768,0.00143768
73,2227.42,1.74163,1.46305,1.99622,0.92315,0.79233,0.90457,0.39968,1.549,2.27357,1.77675,0.00142976,0.00142976,0.00142976
74,2257.47,1.75592,1.468,1.98397,0.86712,0.81789,0.86365,0.38902,1.59014,3.85192,1.82421,0.00142184,0.00142184,0.00142184
75,2287.43,1.76721,1.46074,2.00633,0.87383,0.79657,0.8751,0.39172,1.57154,2.37025,1.80111,0.00141392,0.00141392,0.00141392
76,2317.84,1.755,1.49073,2.01819,0.85554,0.81363,0.87319,0.37392,1.60267,3.83354,1.83656,0.001406,0.001406,0.001406
77,2348.09,1.72944,1.42253,1.97476,0.84938,0.82748,0.87386,0.36695,1.65195,2.29538,1.86902,0.00139808,0.00139808,0.00139808
78,2378.32,1.76113,1.4363,1.98902,0.88784,0.8115,0.88747,0.3936,1.55322,2.12359,1.78774,0.00139016,0.00139016,0.00139016
